date,product_id,units_sold,lead_time,discount_numeric,Promotion_Flag,seasonality,holiday
03-12-2025,P00001,214,3,0,0,Festive,0
07-12-2025,P00001,448,4,0.1,1,Festive,0
09-12-2025,P00001,227,1,0.1,1,Festive,0
,P00001,307,5,0.05,1,Festive,0
,P00001,197,3,0.15,1,Festive,0
,P00001,451,5,0,0,Festive,0
,P00001,245,6,0.05,1,Festive,0
,P00001,149,1,0.05,1,Festive,0
,P00001,441,2,0.1,1,Festive,0
,P00001,20,3,0.15,1,Festive,0
,P00001,170,6,0.15,1,Festive,0
,P00001,143,2,0.1,1,Festive,0
,P00001,249,5,0.05,1,Festive,0
,P00001,79,4,0.1,1,Festive,0
,P00001,330,6,0.1,1,Festive,0
,P00001,214,4,0.05,1,Festive,0
,P00001,452,1,0,0,Festive,0
,P00001,132,7,0,0,Festive,0
,P00001,240,6,0.05,1,Festive,0
,P00001,193,6,0.15,1,Festive,0
,P00001,345,3,0.05,1,Festive,0
,P00001,178,6,0.1,1,Festive,0
,P00001,334,1,0.1,1,Festive,0
,P00001,87,1,0,0,Festive,0
,P00001,138,2,0.05,1,Festive,0
,P00001,179,7,0.05,1,Festive,0
,P00001,79,4,0.05,1,Festive,0
,P00001,208,4,0,0,Festive,0
,P00001,475,2,0,0,Festive,0
,P00001,443,1,0,0,Festive,0
,P00001,444,7,0,0,Festive,0
,P00001,103,4,0.15,1,Festive,0
,P00001,61,5,0,0,Festive,0
,P00001,243,5,0.1,1,Festive,0
,P00001,221,6,0.1,1,Festive,0
,P00001,145,6,0,0,Festive,0
,P00001,278,7,0,0,Festive,0
,P00001,68,5,0.1,1,Festive,0
,P00001,223,3,0.1,1,Festive,0
,P00001,325,1,0,0,Festive,0
,P00001,184,1,0.15,1,Festive,0
,P00001,446,1,0.1,1,Festive,0
,P00001,427,3,0.05,1,Festive,0
,P00001,461,3,0.05,1,Festive,0
,P00001,361,5,0.15,1,Festive,0
,P00001,258,1,0.1,1,Festive,0
,P00001,345,3,0.15,1,Festive,0
,P00001,156,3,0.05,1,Festive,0
,P00001,101,7,0,0,Festive,0
,P00001,30,3,0.05,1,Festive,0
,P00001,394,4,0.05,1,Festive,0
,P00001,163,4,0.15,1,Festive,0
,P00001,15,3,0.05,1,Festive,0
,P00001,72,1,0.1,1,Festive,0
,P00001,50,4,0,0,Festive,0
,P00001,208,5,0.1,1,Festive,0
,P00001,372,3,0.15,1,Festive,0
,P00001,239,5,0,0,Festive,0
,P00001,479,1,0.05,1,Festive,0
,P00001,298,3,0,0,Festive,0
,P00001,341,4,0.1,1,Festive,0
,P00001,303,6,0.15,1,Festive,0
,P00001,62,4,0.05,1,Festive,0
,P00001,413,5,0,0,Festive,0
,P00001,468,6,0.05,1,Festive,0
,P00001,469,2,0,0,Festive,0
,P00001,263,4,0,0,Festive,0
,P00001,30,3,0.1,1,Festive,0
,P00001,473,6,0.1,1,Festive,0
,P00001,150,5,0.15,1,Festive,0
,P00001,213,4,0.15,1,Festive,0
,P00001,193,5,0.05,1,Festive,0
,P00001,444,5,0.05,1,Festive,0
,P00001,111,2,0,0,Festive,0
,P00001,338,2,0.05,1,Festive,0
,P00001,192,7,0.05,1,Festive,0
,P00001,122,4,0.1,1,Festive,0
,P00001,446,2,0.15,1,Festive,0
,P00001,290,2,0.15,1,Festive,0
,P00001,155,7,0.1,1,Festive,0
,P00001,160,4,0.15,1,Festive,0
,P00001,458,2,0,0,Festive,0
,P00001,123,3,0,0,Festive,0
,P00001,445,3,0,0,Festive,0
,P00001,14,2,0.05,1,Festive,0
,P00001,376,3,0.15,1,Festive,0
,P00001,395,5,0.1,1,Festive,0
,P00001,248,6,0.15,1,Festive,0
,P00001,116,4,0,0,Festive,0
,P00001,212,3,0,0,Festive,0
,P00001,477,3,0.15,1,Festive,0
,P00001,262,6,0.15,1,Festive,0
,P00001,304,3,0,0,Festive,0
,P00001,424,5,0,0,Festive,0
,P00001,263,7,0.15,1,Festive,0
,P00001,301,1,0.1,1,Festive,0
,P00001,248,4,0.1,1,Festive,0
,P00001,310,3,0.15,1,Festive,0
,P00001,406,4,0.15,1,Festive,0
,P00001,217,6,0.05,1,Festive,0
,P00001,430,6,0.05,1,Festive,0
,P00001,377,3,0.15,1,Festive,0
,P00001,297,4,0,0,Festive,0
,P00001,310,3,0.15,1,Festive,0
,P00001,485,1,0.15,1,Festive,0
,P00001,233,3,0.1,1,Festive,0
,P00001,112,6,0,0,Festive,0
,P00001,464,5,0,0,Festive,0
,P00001,269,7,0.05,1,Festive,0
,P00001,463,4,0.05,1,Festive,0
,P00001,326,4,0.1,1,Festive,0
,P00001,261,6,0.15,1,Festive,0
,P00001,47,1,0.15,1,Festive,0
,P00001,126,4,0,0,Festive,0
,P00001,368,3,0,0,Festive,0
,P00001,471,3,0.15,1,Festive,0
,P00001,461,4,0.05,1,Festive,0
,P00001,490,4,0.1,1,Festive,0
,P00001,184,4,0.1,1,Festive,0
,P00001,245,6,0,0,Festive,0
,P00001,331,5,0,0,Festive,0
,P00001,149,1,0,0,Festive,0
,P00001,141,3,0,0,Festive,0
,P00001,298,2,0.15,1,Festive,0
,P00001,175,4,0,0,Festive,0
,P00001,385,7,0.1,1,Festive,0
,P00001,247,6,0.05,1,Festive,0
,P00001,141,7,0.1,1,Festive,0
,P00001,125,4,0,0,Festive,0
,P00001,443,5,0.1,1,Festive,0
,P00001,391,5,0,0,Festive,0
,P00001,137,5,0.15,1,Festive,0
,P00001,403,6,0.05,1,Festive,0
,P00001,192,1,0.1,1,Festive,0
,P00001,292,4,0.1,1,Festive,0
,P00001,17,3,0,0,Festive,0
,P00001,217,4,0,0,Festive,0
,P00001,101,2,0,0,Festive,0
,P00001,52,3,0.1,1,Festive,0
,P00001,316,2,0,0,Festive,0
,P00001,218,5,0,0,Festive,0
,P00001,314,5,0,0,Festive,0
,P00001,132,1,0.05,1,Festive,0
04-01-2024,P00002,180,5,0.15,1,Summer,0
07-01-2024,P00002,382,3,0.1,1,Summer,0
11-01-2024,P00002,493,2,0.05,1,Summer,0
04-02-2024,P00002,96,7,0.05,1,Summer,0
05-02-2024,P00002,353,3,0.1,1,Summer,0
06-02-2024,P00002,456,1,0,0,Summer,0
11-02-2024,P00002,473,2,0.15,1,Summer,0
12-02-2024,P00002,68,4,0,0,Summer,0
01-03-2024,P00002,250,5,0.05,1,Summer,0
04-03-2024,P00002,294,6,0.05,1,Summer,0
06-03-2024,P00002,328,2,0.15,1,Summer,0
01-04-2024,P00002,139,1,0,0,Summer,0
02-04-2024,P00002,21,3,0.1,1,Summer,0
04-04-2024,P00002,19,1,0.1,1,Summer,0
06-04-2024,P00002,299,4,0.05,1,Summer,0
07-04-2024,P00002,282,1,0,0,Summer,0
11-04-2024,P00002,336,2,0.1,1,Summer,1
01-05-2024,P00002,352,4,0,0,Summer,0
02-05-2024,P00002,378,6,0.1,1,Summer,0
04-05-2024,P00002,465,3,0.05,1,Summer,0
07-05-2024,P00002,274,4,0,0,Summer,0
08-05-2024,P00002,435,4,0,0,Summer,0
11-05-2024,P00002,77,4,0.15,1,Summer,0
01-06-2024,P00002,136,1,0.1,1,Summer,0
09-06-2024,P00002,115,2,0.1,1,Summer,0
02-07-2024,P00002,436,1,0.1,1,Summer,0
05-07-2024,P00002,429,3,0,0,Summer,0
08-07-2024,P00002,135,1,0.05,1,Summer,0
05-08-2024,P00002,403,7,0.1,1,Summer,0
07-08-2024,P00002,409,4,0.05,1,Summer,0
09-08-2024,P00002,115,3,0.15,1,Summer,0
11-08-2024,P00002,320,6,0,0,Summer,0
02-09-2024,P00002,174,5,0,0,Summer,0
03-09-2024,P00002,151,5,0.05,1,Summer,0
06-09-2024,P00002,388,4,0.1,1,Summer,0
07-09-2024,P00002,20,6,0,0,Summer,0
08-09-2024,P00002,190,3,0.15,1,Summer,0
01-10-2024,P00002,205,5,0.1,1,Summer,0
05-10-2024,P00002,149,7,0,0,Summer,0
07-10-2024,P00002,216,1,0.15,1,Summer,0
10-10-2024,P00002,360,6,0.1,1,Summer,0
02-11-2024,P00002,230,2,0.05,1,Summer,0
03-11-2024,P00002,415,5,0.1,1,Summer,0
04-11-2024,P00002,500,7,0.05,1,Summer,0
05-11-2024,P00002,415,2,0.1,1,Summer,0
07-11-2024,P00002,140,5,0.1,1,Summer,0
08-11-2024,P00002,13,1,0.05,1,Summer,0
01-12-2024,P00002,286,4,0.15,1,Summer,0
02-12-2024,P00002,148,4,0.05,1,Summer,0
07-12-2024,P00002,277,2,0.1,1,Summer,0
08-12-2024,P00002,254,4,0.15,1,Summer,0
09-12-2024,P00002,149,4,0.1,1,Summer,0
08-01-2025,P00002,110,1,0.1,1,Summer,0
01-02-2025,P00002,201,4,0.05,1,Summer,0
02-02-2025,P00002,352,5,0,0,Summer,0
05-02-2025,P00002,48,5,0.1,1,Summer,0
06-02-2025,P00002,160,3,0.05,1,Summer,0
10-02-2025,P00002,343,1,0,0,Summer,0
03-03-2025,P00002,208,1,0.05,1,Summer,0
05-03-2025,P00002,104,1,0,0,Summer,0
07-03-2025,P00002,31,1,0.05,1,Summer,0
08-03-2025,P00002,488,4,0,0,Summer,0
09-03-2025,P00002,476,4,0.05,1,Summer,0
03-04-2025,P00002,256,4,0.15,1,Summer,0
06-04-2025,P00002,328,2,0,0,Summer,0
07-04-2025,P00002,309,2,0.15,1,Summer,0
05-05-2025,P00002,457,3,0.15,1,Summer,0
06-05-2025,P00002,56,1,0.15,1,Summer,0
08-05-2025,P00002,481,4,0,0,Summer,0
01-06-2025,P00002,104,6,0.1,1,Summer,0
05-06-2025,P00002,369,3,0.05,1,Summer,0
09-06-2025,P00002,312,7,0.15,1,Summer,0
10-06-2025,P00002,61,1,0.15,1,Summer,0
02-07-2025,P00002,20,1,0,0,Summer,0
05-07-2025,P00002,474,4,0,0,Summer,0
06-07-2025,P00002,65,3,0.05,1,Summer,1
08-07-2025,P00002,246,6,0.05,1,Summer,0
02-08-2025,P00002,291,2,0,0,Summer,0
04-08-2025,P00002,217,1,0.1,1,Summer,0
05-08-2025,P00002,269,4,0,0,Summer,0
08-08-2025,P00002,385,4,0.1,1,Summer,0
01-09-2025,P00002,263,5,0.15,1,Summer,0
02-09-2025,P00002,255,6,0,0,Summer,0
03-09-2025,P00002,79,3,0.05,1,Summer,0
04-09-2025,P00002,97,5,0.15,1,Summer,0
06-09-2025,P00002,77,4,0.15,1,Summer,0
01-10-2025,P00002,480,5,0.05,1,Summer,0
03-10-2025,P00002,170,3,0.15,1,Summer,0
04-10-2025,P00002,369,3,0.1,1,Summer,0
05-10-2025,P00002,74,2,0,0,Summer,0
06-10-2025,P00002,486,7,0.05,1,Summer,0
07-10-2025,P00002,84,5,0.1,1,Summer,0
08-10-2025,P00002,27,6,0.05,1,Summer,0
01-11-2025,P00002,390,6,0,0,Summer,0
02-11-2025,P00002,72,2,0.15,1,Summer,0
04-11-2025,P00002,446,2,0.15,1,Summer,0
05-11-2025,P00002,367,4,0.15,1,Summer,1
06-11-2025,P00002,53,7,0,0,Summer,0
07-11-2025,P00002,200,6,0.05,1,Summer,0
02-12-2025,P00002,386,2,0.05,1,Summer,0
03-12-2025,P00002,10,5,0.05,1,Summer,0
04-12-2025,P00002,75,7,0.15,1,Summer,0
06-12-2025,P00002,331,3,0.05,1,Summer,0
,P00002,436,1,0.1,1,Summer,0
,P00002,255,2,0.1,1,Summer,0
,P00002,116,2,0.15,1,Summer,0
,P00002,238,7,0,0,Summer,0
,P00002,215,3,0.05,1,Summer,0
,P00002,56,3,0,0,Summer,0
,P00002,238,6,0.05,1,Summer,0
,P00002,399,3,0.15,1,Summer,0
,P00002,178,4,0.15,1,Summer,0
,P00002,448,1,0.15,1,Summer,0
,P00002,462,4,0.15,1,Summer,0
,P00002,215,2,0.05,1,Summer,0
,P00002,346,2,0,0,Summer,0
,P00002,313,5,0,0,Summer,0
,P00002,304,6,0.05,1,Summer,0
,P00002,50,2,0,0,Summer,0
,P00002,172,3,0.05,1,Summer,0
,P00002,129,3,0.1,1,Summer,0
,P00002,382,2,0.15,1,Summer,0
,P00002,27,1,0.05,1,Summer,0
,P00002,45,3,0,0,Summer,0
,P00002,32,1,0.15,1,Summer,0
,P00002,135,4,0.05,1,Summer,0
,P00002,366,3,0,0,Summer,0
,P00002,382,7,0.15,1,Summer,0
,P00002,295,4,0.1,1,Summer,0
,P00002,59,6,0.1,1,Summer,0
,P00002,461,6,0.1,1,Summer,0
,P00002,121,5,0.1,1,Summer,0
,P00002,114,7,0.05,1,Summer,0
,P00002,119,7,0.1,1,Summer,0
,P00002,221,4,0.05,1,Summer,0
,P00002,312,3,0.1,1,Summer,0
,P00002,427,7,0.1,1,Summer,0
,P00002,29,2,0.05,1,Summer,0
,P00002,414,2,0,0,Summer,0
,P00002,250,1,0.15,1,Summer,0
,P00002,29,6,0.1,1,Summer,0
,P00002,145,6,0.15,1,Summer,0
,P00002,304,5,0.1,1,Summer,0
,P00002,154,5,0.1,1,Summer,0
,P00002,73,5,0.05,1,Summer,0
,P00002,469,1,0.1,1,Summer,0
,P00002,106,5,0.05,1,Summer,0
,P00002,26,6,0,0,Summer,0
,P00002,469,2,0,0,Summer,0
,P00002,43,4,0.1,1,Summer,0
,P00002,301,1,0.1,1,Summer,0
,P00002,407,3,0.15,1,Summer,0
,P00002,285,1,0.15,1,Summer,0
,P00002,232,3,0.05,1,Summer,0
,P00002,169,7,0.1,1,Summer,0
,P00002,47,7,0.15,1,Summer,0
,P00002,141,5,0,0,Summer,0
,P00002,251,4,0.1,1,Summer,0
,P00002,308,5,0,0,Summer,0
,P00002,281,6,0.15,1,Summer,0
,P00002,394,1,0.15,1,Summer,0
,P00002,481,4,0,0,Summer,0
,P00002,148,6,0.1,1,Summer,0
,P00002,128,4,0.05,1,Summer,0
,P00002,282,1,0.15,1,Summer,0
,P00002,201,2,0.1,1,Summer,0
,P00002,142,5,0.15,1,Summer,0
,P00002,457,7,0.05,1,Summer,0
,P00002,311,1,0.1,1,Summer,0
,P00002,151,2,0,0,Summer,0
,P00002,285,6,0,0,Summer,0
,P00002,75,4,0.1,1,Summer,0
,P00002,434,5,0.05,1,Summer,0
,P00002,65,6,0.05,1,Summer,0
,P00002,438,3,0.05,1,Summer,0
,P00002,329,2,0.15,1,Summer,0
,P00002,353,5,0.1,1,Summer,0
,P00002,132,2,0,0,Summer,0
,P00002,457,2,0,0,Summer,0
,P00002,471,4,0,0,Summer,0
,P00002,301,2,0.15,1,Summer,0
,P00002,225,4,0,0,Summer,0
,P00002,363,5,0.15,1,Summer,0
,P00002,308,5,0.05,1,Summer,0
,P00002,226,5,0.05,1,Summer,0
,P00002,377,5,0.1,1,Summer,0
,P00002,221,4,0.15,1,Summer,0
,P00002,90,4,0,0,Summer,0
,P00002,408,2,0.05,1,Summer,0
,P00002,475,5,0,0,Summer,0
,P00002,66,6,0.15,1,Summer,0
,P00002,498,2,0.15,1,Summer,0
,P00002,365,4,0,0,Summer,0
,P00002,252,2,0.1,1,Summer,0
,P00002,236,7,0.1,1,Summer,0
,P00002,412,3,0.15,1,Summer,0
,P00002,197,5,0.15,1,Summer,0
,P00002,18,6,0.15,1,Summer,0
,P00002,430,2,0,0,Summer,0
,P00002,243,1,0,0,Summer,0
,P00002,182,1,0.05,1,Summer,0
,P00002,187,5,0.05,1,Summer,0
,P00002,390,3,0.15,1,Summer,0
,P00002,437,2,0.1,1,Summer,0
,P00002,101,6,0.1,1,Summer,0
,P00002,150,4,0,0,Summer,0
,P00002,499,7,0.05,1,Summer,0
,P00002,184,4,0.05,1,Summer,0
,P00002,72,1,0,0,Summer,0
,P00002,68,5,0,0,Summer,0
,P00002,317,3,0.1,1,Summer,0
,P00002,63,5,0.05,1,Summer,0
,P00002,484,4,0.05,1,Summer,0
,P00002,98,6,0.05,1,Summer,0
,P00002,400,4,0.15,1,Summer,0
,P00002,500,2,0,0,Summer,0
,P00002,401,6,0.05,1,Summer,0
,P00002,234,3,0.15,1,Summer,0
,P00002,260,3,0.1,1,Summer,0
,P00002,187,3,0.1,1,Summer,0
,P00002,152,1,0.05,1,Summer,0
,P00002,77,4,0.05,1,Summer,0
,P00002,87,4,0.15,1,Summer,0
,P00002,48,4,0.1,1,Summer,0
,P00002,321,5,0.15,1,Summer,0
,P00002,487,3,0.05,1,Summer,0
,P00002,411,5,0.05,1,Summer,0
,P00002,443,4,0.05,1,Summer,0
,P00002,346,4,0.05,1,Summer,0
,P00002,372,7,0.05,1,Summer,0
,P00002,44,5,0,0,Summer,0
,P00002,411,3,0.05,1,Summer,0
,P00002,313,3,0.05,1,Summer,0
,P00002,45,1,0.1,1,Summer,0
,P00002,130,2,0,0,Summer,0
,P00002,428,3,0,0,Summer,0
,P00002,282,3,0.1,1,Summer,0
,P00002,323,1,0.15,1,Summer,0
,P00002,434,4,0.1,1,Summer,0
,P00002,335,1,0,0,Summer,0
,P00002,339,5,0.1,1,Summer,0
,P00002,128,3,0.1,1,Summer,0
,P00002,392,6,0,0,Summer,0
,P00002,16,3,0,0,Summer,0
,P00002,30,2,0.05,1,Summer,0
,P00002,239,3,0.15,1,Summer,0
,P00002,72,4,0.05,1,Summer,0
,P00002,87,5,0,0,Summer,0
,P00002,174,7,0,0,Summer,0
06-01-2024,P00003,452,1,0.05,1,Summer,0
09-01-2024,P00003,226,1,0,0,Summer,0
11-01-2024,P00003,31,1,0,0,Summer,0
06-02-2024,P00003,298,1,0,0,Summer,0
07-02-2024,P00003,125,5,0.05,1,Summer,0
09-02-2024,P00003,426,7,0,0,Summer,0
11-02-2024,P00003,308,1,0.15,1,Summer,0
12-02-2024,P00003,148,4,0.05,1,Summer,0
01-03-2024,P00003,442,4,0.15,1,Summer,0
02-03-2024,P00003,43,1,0,0,Summer,0
03-03-2024,P00003,111,1,0,0,Summer,0
04-03-2024,P00003,157,1,0,0,Summer,0
08-03-2024,P00003,94,1,0,0,Summer,1
10-03-2024,P00003,482,1,0.05,1,Summer,0
12-03-2024,P00003,159,4,0,0,Summer,0
06-04-2024,P00003,412,4,0,0,Summer,0
07-04-2024,P00003,149,3,0.1,1,Summer,0
08-04-2024,P00003,200,2,0.05,1,Summer,0
12-04-2024,P00003,112,3,0,0,Summer,0
03-05-2024,P00003,422,1,0.05,1,Summer,0
05-05-2024,P00003,215,5,0,0,Summer,0
06-05-2024,P00003,262,5,0.1,1,Summer,0
02-06-2024,P00003,436,4,0,0,Summer,0
03-06-2024,P00003,421,3,0.05,1,Summer,0
04-06-2024,P00003,378,1,0,0,Summer,0
07-06-2024,P00003,429,6,0.1,1,Summer,0
08-06-2024,P00003,54,5,0,0,Summer,0
09-06-2024,P00003,31,4,0.15,1,Summer,0
12-06-2024,P00003,255,4,0.1,1,Summer,0
07-07-2024,P00003,461,1,0,0,Summer,0
09-07-2024,P00003,12,3,0,0,Summer,0
10-07-2024,P00003,190,5,0.1,1,Summer,0
01-08-2024,P00003,396,7,0.1,1,Summer,0
02-08-2024,P00003,293,3,0.1,1,Summer,0
04-08-2024,P00003,334,3,0.15,1,Summer,0
08-08-2024,P00003,347,4,0,0,Summer,0
11-08-2024,P00003,237,5,0,0,Summer,0
12-08-2024,P00003,310,3,0.1,1,Summer,0
01-09-2024,P00003,106,2,0.15,1,Summer,0
03-09-2024,P00003,459,2,0.15,1,Summer,0
06-09-2024,P00003,318,5,0.05,1,Summer,0
07-09-2024,P00003,240,3,0.1,1,Summer,0
10-09-2024,P00003,396,3,0.05,1,Summer,0
11-09-2024,P00003,458,6,0.15,1,Summer,0
12-09-2024,P00003,102,2,0.1,1,Summer,0
01-10-2024,P00003,476,1,0.05,1,Summer,0
03-10-2024,P00003,307,3,0,0,Summer,0
05-10-2024,P00003,343,3,0.15,1,Summer,0
06-10-2024,P00003,276,3,0,0,Summer,0
08-10-2024,P00003,244,4,0.05,1,Summer,0
12-10-2024,P00003,479,5,0,0,Summer,1
03-11-2024,P00003,432,1,0.1,1,Summer,0
04-11-2024,P00003,400,4,0.15,1,Summer,0
09-11-2024,P00003,248,6,0.15,1,Summer,0
10-11-2024,P00003,413,1,0.05,1,Summer,0
03-12-2024,P00003,13,1,0,0,Summer,0
09-12-2024,P00003,350,3,0.15,1,Summer,0
12-12-2024,P00003,131,5,0.1,1,Summer,0
08-01-2025,P00003,466,4,0.05,1,Summer,0
08-02-2025,P00003,361,5,0.15,1,Summer,0
02-03-2025,P00003,307,6,0.1,1,Summer,0
05-03-2025,P00003,37,5,0.1,1,Summer,0
01-04-2025,P00003,110,1,0,0,Summer,0
02-04-2025,P00003,270,6,0,0,Summer,0
03-04-2025,P00003,68,4,0.15,1,Summer,0
04-04-2025,P00003,76,2,0.1,1,Summer,0
09-04-2025,P00003,157,1,0.15,1,Summer,0
02-05-2025,P00003,451,3,0,0,Summer,0
03-05-2025,P00003,272,2,0,0,Summer,0
06-05-2025,P00003,162,5,0,0,Summer,0
07-05-2025,P00003,218,4,0.1,1,Summer,0
10-05-2025,P00003,174,6,0.15,1,Summer,0
01-06-2025,P00003,277,5,0.1,1,Summer,0
04-06-2025,P00003,179,2,0,0,Summer,0
06-06-2025,P00003,22,2,0.15,1,Summer,0
08-06-2025,P00003,242,2,0.05,1,Summer,0
01-07-2025,P00003,340,4,0.1,1,Summer,0
09-07-2025,P00003,33,6,0.15,1,Summer,0
01-08-2025,P00003,308,1,0.1,1,Summer,0
03-08-2025,P00003,329,1,0.1,1,Summer,0
06-08-2025,P00003,153,6,0,0,Summer,0
08-08-2025,P00003,129,7,0.1,1,Summer,0
01-09-2025,P00003,324,5,0.1,1,Summer,0
02-09-2025,P00003,489,2,0,0,Summer,0
04-09-2025,P00003,208,3,0.15,1,Summer,0
05-09-2025,P00003,276,5,0,0,Summer,1
01-10-2025,P00003,419,2,0.1,1,Summer,0
08-10-2025,P00003,124,3,0.15,1,Summer,0
04-11-2025,P00003,325,2,0.15,1,Summer,0
06-11-2025,P00003,482,1,0.05,1,Summer,0
10-11-2025,P00003,310,7,0.05,1,Summer,0
02-12-2025,P00003,61,6,0.1,1,Summer,0
06-12-2025,P00003,83,3,0.1,1,Summer,0
07-12-2025,P00003,63,2,0.05,1,Summer,0
08-12-2025,P00003,286,1,0.15,1,Summer,0
,P00003,301,1,0.15,1,Summer,0
,P00003,177,6,0.15,1,Summer,0
,P00003,135,5,0.05,1,Summer,0
,P00003,190,1,0.15,1,Summer,0
,P00003,466,4,0.15,1,Summer,0
,P00003,140,3,0.05,1,Summer,0
,P00003,177,1,0.1,1,Summer,0
,P00003,94,1,0.15,1,Summer,0
,P00003,439,1,0,0,Summer,0
,P00003,25,3,0.15,1,Summer,0
,P00003,445,4,0,0,Summer,0
,P00003,57,2,0.15,1,Summer,0
,P00003,308,1,0,0,Summer,0
,P00003,457,4,0.15,1,Summer,0
,P00003,357,5,0.15,1,Summer,0
,P00003,38,4,0.1,1,Summer,0
,P00003,295,3,0.05,1,Summer,0
,P00003,323,7,0.15,1,Summer,0
,P00003,384,7,0.15,1,Summer,0
,P00003,307,2,0,0,Summer,0
,P00003,24,5,0,0,Summer,0
,P00003,467,4,0,0,Summer,0
,P00003,400,2,0.15,1,Summer,0
